timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1752249600,Jul 11 2025 - 4:00pm,complete,N/A,Metaloglobus,Universitatea Cluj,N/A,1,0.00,0.00,0.63,1.63,1,4,5,1,0,1,"53","55,76,29,90'1",1,7,3,0,1,0,0,3,0,1,11,15,2,6,9,9,8,9,43,57,0.00,0.00,1.25,1.96,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,7.15,4.15,1.47,1.28,1.85,2.93,5.55,1.87,1.83,N/A
1752258600,Jul 11 2025 - 6:30pm,complete,N/A,Argeș,Rapid Bucureşti,N/A,1,0.00,0.00,1.86,2.25,0,2,2,2,0,2,"","3,34",7,1,5,0,4,0,3,2,1,3,13,9,2,5,11,4,23,16,48,52,0.00,0.00,1.47,1.41,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.15,3.15,2.05,1.34,2.00,3.56,7.00,1.85,1.85,Stadionul Municipal Nicolae Dobrin
1752334200,Jul 12 2025 - 3:30pm,complete,N/A,UTA Arad,CS U Craiova,N/A,1,0.00,0.00,1.63,1.29,3,3,6,2,0,2,"81,90'4,90'13","13,19,49",4,3,3,0,3,0,2,1,2,1,21,13,6,4,15,9,11,12,48,52,0.00,0.00,2.17,1.32,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.75,3.35,1.90,1.25,1.95,3.40,6.20,1.80,1.91,N/A
1752345000,Jul 12 2025 - 6:30pm,complete,N/A,FCSB,Hermannstadt,N/A,1,0.00,0.00,1.43,0.63,1,1,2,0,0,0,"90'3","75",13,1,0,0,1,0,0,0,1,0,24,8,6,3,18,5,9,8,65,35,0.00,0.00,2.49,0.96,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.40,4.50,8.50,1.18,1.67,2.62,4.75,1.93,1.78,N/A
1752420600,Jul 13 2025 - 3:30pm,complete,N/A,Oţelul Galaţi,Petrolul 52,N/A,1,0.00,0.00,1.75,1.13,0,0,0,0,0,0,"","",4,3,1,0,1,0,1,0,1,0,12,6,1,2,11,4,9,19,52,48,0.00,0.00,1.20,0.77,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.30,3.14,2.90,1.48,2.50,5.00,12.00,2.10,1.70,Stadionul Oţelul
1752431400,Jul 13 2025 - 6:30pm,complete,N/A,CFR Cluj,Unirea Slobozia,N/A,1,0.00,0.00,1.13,1.00,2,1,3,2,1,1,"15,90'4","45'1",5,2,1,0,1,0,0,1,0,1,10,12,4,3,6,9,14,16,60,40,0.00,0.00,1.20,1.24,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.37,4.35,7.30,1.20,1.93,2.65,5.00,1.93,1.80,Stadionul Dr. Constantin Rădulescu
1752508800,Jul 14 2025 - 4:00pm,complete,N/A,Botoşani,SSC Farul,N/A,1,0.00,0.00,2.50,1.00,1,1,2,0,0,0,"61","72",7,6,0,0,5,1,0,0,1,5,11,14,2,4,9,10,13,17,53,47,0.00,0.00,1.17,1.46,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.40,3.00,2.80,0.00,2.15,0.00,0.00,1.83,1.83,Stadionul Municipal
1752517800,Jul 14 2025 - 6:30pm,complete,N/A,Csikszereda,Dinamo Bucureşti,N/A,1,0.00,0.00,1.00,1.88,2,2,4,4,2,2,"2,11","43,16",0,9,1,0,3,0,1,0,1,2,5,17,3,10,2,7,13,11,27,73,0.00,0.00,0.97,2.58,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.15,2.80,2.20,1.42,2.35,4.50,9.50,1.91,1.83,Stadionul Municipal
1752854400,Jul 18 2025 - 4:00pm,complete,N/A,Hermannstadt,Metaloglobus,N/A,2,0.00,0.00,0.75,0.25,2,2,4,2,2,0,"3,40","58,77",5,3,1,0,2,0,0,1,0,2,15,10,4,4,11,6,8,12,51,49,0.00,0.00,1.79,1.29,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.28,4.20,8.00,1.25,1.91,2.95,6.00,2.15,1.62,N/A
1752863400,Jul 18 2025 - 6:30pm,complete,N/A,CS U Craiova,Argeș,N/A,2,0.00,0.00,2.22,1.56,3,1,4,3,2,1,"16,39,52","36",1,4,2,0,5,0,1,1,1,4,8,11,2,2,6,9,13,20,65,35,0.00,0.00,0.83,1.17,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.58,4.10,5.40,1.25,1.89,3.26,6.57,2.15,1.68,N/A
1752939000,Jul 19 2025 - 3:30pm,complete,N/A,Universitatea Cluj,UTA Arad,N/A,2,0.00,0.00,0.88,1.13,1,1,2,1,0,1,"57","30",4,2,2,0,2,0,1,1,0,2,26,15,4,6,22,9,8,9,70,30,0.00,0.00,2.47,1.59,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.73,3.74,4.68,1.29,1.88,3.60,6.50,1.91,1.88,Cluj Arena
1752949800,Jul 19 2025 - 6:30pm,complete,N/A,Petrolul 52,FCSB,N/A,2,0.00,0.00,0.75,1.11,0,1,1,0,0,0,"","75",5,6,3,0,4,0,0,3,1,3,13,13,1,5,12,8,19,15,49,51,0.00,0.00,1.18,1.38,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.10,3.30,1.84,1.37,2.15,3.80,7.50,1.96,1.80,Stadionul Ilie Oană
1753025400,Jul 20 2025 - 3:30pm,complete,N/A,SSC Farul,Oţelul Galaţi,N/A,2,0.00,0.00,2.13,1.13,3,2,5,3,2,1,"7,2,87","38,85",5,7,0,1,2,0,0,1,0,2,9,20,3,6,6,14,8,9,50,50,0.00,0.00,1.02,2.01,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.20,3.20,3.35,1.37,2.18,4.17,8.00,1.91,1.85,N/A
1753036200,Jul 20 2025 - 6:30pm,complete,N/A,Rapid Bucureşti,CFR Cluj,N/A,2,0.00,0.00,2.13,0.88,1,1,2,1,0,1,"47","25",5,4,1,0,2,0,0,1,1,1,24,15,7,3,17,12,6,15,58,42,0.00,0.00,2.30,1.40,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.45,3.25,2.62,1.26,1.91,3.25,5.91,1.75,2.00,N/A
1753113600,Jul 21 2025 - 4:00pm,complete,N/A,Unirea Slobozia,Csikszereda,N/A,2,0.00,0.00,1.25,0.57,6,1,7,3,2,1,"34,55,45'8,72,90,85","21",2,1,0,0,0,1,0,0,1,0,20,15,11,6,9,9,11,6,60,40,0.00,0.00,2.42,1.62,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.30,3.10,3.20,1.44,2.30,4.33,9.00,2.00,1.60,Stadionul Clinceni - Arena 1
1753122600,Jul 21 2025 - 6:30pm,complete,N/A,Dinamo Bucureşti,Botoşani,N/A,2,0.00,0.00,1.88,1.50,0,0,0,0,0,0,"","",7,5,0,0,2,0,0,0,0,2,12,7,3,1,9,6,10,20,55,45,0.00,0.00,1.38,0.76,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.76,3.72,4.00,1.29,2.07,3.70,8.00,1.87,1.77,N/A
