timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1720798200,Jul 12 2024 - 3:30pm,complete,N/A,SSC Farul,Unirea Slobozia,Horațiu Mircea Fesnic,1,0.00,0.00,1.40,0.95,0,1,1,1,0,1,"","19",8,5,2,0,3,0,2,0,1,2,13,6,5,2,8,4,12,18,70,30,0.00,0.00,1.76,0.83,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.55,3.50,5.25,1.35,2.00,3.60,6.75,2.10,1.65,Stadionul Central (Ovidiu)
1720809000,Jul 12 2024 - 6:30pm,complete,N/A,Hermannstadt,CS U Craiova,Szabolcs Kovacs,1,0.00,0.00,1.75,1.30,0,0,0,0,0,0,"","",0,9,1,0,1,0,0,1,1,0,6,13,1,10,5,3,6,10,39,61,0.00,0.00,0.71,2.10,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.90,2.95,2.45,1.34,2.05,3.65,7.30,1.85,1.85,Stadionul Municipal (Sibiu)
1720879200,Jul 13 2024 - 2:00pm,complete,N/A,Sepsi,CSM Iaşi,Marcel Bîrsan,1,0.00,0.00,1.40,0.75,1,0,1,1,1,0,"23","",4,4,0,0,1,0,0,0,0,1,10,15,5,5,5,10,10,15,62,38,0.00,0.00,1.53,1.69,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.87,3.30,4.40,1.33,1.98,3.75,6.60,1.95,1.80,Arena Sepsi OSK (Sfântu Gheorghe)
1720887300,Jul 13 2024 - 4:15pm,complete,N/A,UTA Arad,Rapid Bucureşti,N/A,1,0.00,0.00,1.30,1.15,1,1,2,1,0,1,"60","23",5,4,3,0,3,0,0,3,0,3,10,12,5,6,5,6,8,7,50,50,0.00,0.00,1.43,1.67,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.30,3.15,2.30,1.30,1.93,3.40,6.05,1.75,2.00,Stadionul Francisc von Neuman (Arad)
1720897200,Jul 13 2024 - 7:00pm,complete,N/A,FCSB,Universitatea Cluj,Adrian Viorel Cojocaru,1,0.00,0.00,2.10,1.40,1,1,2,0,0,0,"51","57",6,0,2,0,3,0,0,2,0,3,16,2,6,2,10,0,5,12,57,43,0.00,0.00,1.72,0.41,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.75,3.38,4.22,1.33,2.15,3.75,6.80,2.00,1.72,Stadionul Steaua (București)
1720972800,Jul 14 2024 - 4:00pm,complete,N/A,CFR Cluj,Dinamo Bucureşti,Rareș George Vidican,1,0.00,0.00,2.05,1.25,3,2,5,3,1,2,"42,52,90'3","14,34",7,2,3,0,2,0,0,3,1,1,14,6,7,2,7,4,6,7,47,53,0.00,0.00,1.87,0.72,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.49,3.42,5.42,1.28,1.95,3.20,6.15,2.20,1.62,Stadionul Dr. Constantin Rădulescu (Cluj-Napoca)
1721057400,Jul 15 2024 - 3:30pm,complete,N/A,Botoşani,Oţelul Galaţi,Cristian Moldoveanu,1,0.00,0.00,1.37,1.40,2,3,5,2,1,1,"33,56","6,65,67",7,4,3,0,2,0,3,0,1,1,9,11,5,7,4,4,16,9,51,49,0.00,0.00,1.46,1.56,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.37,3.00,2.80,1.45,2.25,4.50,8.80,2.00,1.73,Stadionul Municipal (Botoşani)
1721068200,Jul 15 2024 - 6:30pm,complete,N/A,Petrolul 52,SCM Gloria Buzău,Istvan Kovacs,1,0.00,0.00,1.55,0.60,0,0,0,0,0,0,"","",5,4,2,0,2,0,1,1,1,1,4,3,2,1,2,2,22,6,62,38,0.00,0.00,0.82,0.58,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.79,3.37,4.28,1.45,2.30,4.50,8.50,2.10,1.67,Stadionul Ilie Oană (Ploieşti)
1721404800,Jul 19 2024 - 4:00pm,complete,N/A,CSM Iaşi,Botoşani,Florin Andrei,2,0.00,0.00,1.47,0.90,1,0,1,1,1,0,"6","",5,2,1,0,3,0,0,1,0,3,8,3,5,1,3,2,13,10,50,50,0.00,0.00,1.32,0.63,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.46,3.10,3.01,1.38,2.18,4.35,8.50,1.83,1.83,Stadionul Emil Alexandrescu (Iaşi)
1721415600,Jul 19 2024 - 7:00pm,complete,N/A,Unirea Slobozia,FCSB,Vlad Baban,2,0.00,0.00,1.11,1.90,2,2,4,2,1,1,"36,89","33,55",4,9,3,0,2,0,0,3,0,2,8,8,4,4,4,4,16,11,32,68,0.00,0.00,0.86,1.04,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,5.20,3.70,1.52,1.27,1.88,3.35,6.75,1.83,1.83,Clinceni - Arena 1 (Clinceni)
1721491200,Jul 20 2024 - 4:00pm,complete,N/A,CS U Craiova,UTA Arad,Andrei Florin Chivulete,2,0.00,0.00,2.00,1.16,4,2,6,2,1,1,"35,58,73,90'3","45,90'2",8,3,0,0,0,0,0,0,0,0,16,7,8,5,8,2,10,7,63,37,0.00,0.00,1.96,1.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.72,3.55,4.50,1.30,2.04,3.50,6.50,1.90,1.83,Complex Sportiv Craiova (Craiova)
1721502000,Jul 20 2024 - 7:00pm,complete,N/A,Rapid Bucureşti,CFR Cluj,Istvan Kovacs,2,0.00,0.00,1.65,1.45,2,2,4,1,0,1,"53,90'7","28,75",5,4,1,0,0,0,0,1,0,0,12,9,7,2,5,7,13,15,49,51,0.00,0.00,1.55,1.10,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.75,3.00,2.35,1.28,1.90,3.28,6.20,1.73,1.99,Superbet Arena-Giulești (București)
1721577600,Jul 21 2024 - 4:00pm,complete,N/A,Universitatea Cluj,Hermannstadt,Horia Gabriel Mladinovici,2,0.00,0.00,1.85,1.11,3,1,4,4,3,1,"7,20,37","41",3,8,1,0,1,0,0,1,0,1,12,5,6,2,6,3,12,7,59,41,0.00,0.00,1.44,0.78,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.16,3.00,3.40,1.54,2.55,5.10,10.25,2.25,1.57,Cluj Arena (Cluj-Napoca)
1721588400,Jul 21 2024 - 7:00pm,complete,N/A,Dinamo Bucureşti,Petrolul 52,George Cătălin Găman,2,0.00,0.00,1.55,1.05,4,1,5,2,2,0,"12,41,61,86","82",5,3,2,0,2,0,1,1,1,1,5,3,4,1,1,2,14,12,55,45,0.00,0.00,0.87,0.52,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.30,3.00,3.30,1.40,2.35,4.15,8.20,2.00,1.73,Stadionul Arcul de Triumf (București)
1721664000,Jul 22 2024 - 4:00pm,complete,N/A,SCM Gloria Buzău,Sepsi,Iulian Călin,2,0.00,0.00,0.79,0.95,1,2,3,2,0,2,"86","12,30",7,9,6,0,2,0,2,4,0,2,9,9,6,5,3,4,11,12,45,55,0.00,0.00,1.54,1.62,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.40,3.10,2.00,1.40,2.20,4.00,8.00,2.00,1.73,Stadionul Gloria (Buzău)
1721674800,Jul 22 2024 - 7:00pm,complete,N/A,Oţelul Galaţi,SSC Farul,Radu Petrescu,2,0.00,0.00,1.21,1.05,0,0,0,0,0,0,"","",8,12,1,0,0,0,0,1,0,0,9,13,2,3,7,10,17,7,42,58,0.00,0.00,1.16,1.55,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.26,3.15,2.76,1.38,2.00,3.80,8.00,1.83,1.83,Stadionul Oţelul (Galaţi)
1722009600,Jul 26 2024 - 4:00pm,complete,N/A,Hermannstadt,Unirea Slobozia,Rareș George Vidican,3,1.00,3.00,1.75,0.95,1,1,2,2,1,1,"6","40",5,3,4,0,3,0,1,3,0,3,13,17,1,6,12,11,10,13,53,47,0.71,0.83,1.44,1.98,0.50,0,0,0,0,0,0,50,0,0,5.00,4.00,1.91,3.20,4.00,1.42,2.30,4.20,8.10,2.00,1.75,Stadionul Municipal (Sibiu)
1722020400,Jul 26 2024 - 7:00pm,complete,N/A,FCSB,Oţelul Galaţi,Andrei Moroita,3,1.00,3.00,2.10,1.40,0,2,2,1,0,1,"","44,59",9,2,2,0,0,0,0,2,0,0,16,5,7,4,9,1,12,11,73,27,1.72,1.56,2.23,0.94,3.50,100,100,50,50,50,50,50,100,100,10.00,4.00,1.65,3.55,5.50,1.30,2.10,3.40,6.05,2.10,1.68,Stadionul Steaua (București)
1722096000,Jul 27 2024 - 4:00pm,complete,N/A,CSM Iaşi,SCM Gloria Buzău,Iulian Dima,3,3.00,1.00,1.47,0.60,1,2,3,2,1,1,"29","45'12,52",7,1,2,0,5,0,1,1,0,5,11,8,3,5,8,3,11,14,63,37,1.32,0.58,1.38,1.13,0.50,0,0,0,0,0,0,50,0,0,9.00,3.00,2.20,3.00,3.10,1.45,2.30,4.50,8.60,2.00,1.75,Stadionul Emil Alexandrescu (Iaşi)
1722106800,Jul 27 2024 - 7:00pm,complete,N/A,Sepsi,Dinamo Bucureşti,Horațiu Mircea Fesnic,3,3.00,0.00,1.40,1.25,1,1,2,1,1,0,"29","74",9,3,2,0,3,0,1,1,2,1,6,6,1,2,5,4,12,12,51,49,1.53,0.72,0.98,0.80,3.00,50,50,50,50,50,50,100,50,50,6.00,2.00,1.80,3.30,3.90,1.33,1.95,3.50,6.25,1.83,1.90,Arena Sepsi OSK (Sfântu Gheorghe)
1722182400,Jul 28 2024 - 4:00pm,complete,N/A,SSC Farul,Botoşani,Viorel Nicușor Flueran,3,0.00,0.00,1.40,0.90,0,1,1,0,0,0,"","47",7,5,1,0,4,1,1,0,1,4,14,5,1,4,13,1,11,17,67,33,1.76,0.63,1.46,0.91,1.00,0,0,0,0,0,0,100,0,0,10.00,5.00,1.62,3.65,4.40,1.25,1.90,3.04,5.70,1.95,1.80,Stadionul Central (Ovidiu)
1722193200,Jul 28 2024 - 7:00pm,complete,N/A,CFR Cluj,CS U Craiova,Marcel Bîrsan,3,3.00,1.00,2.05,1.30,0,2,2,0,0,0,"","51,90'5",5,5,3,1,4,0,3,1,0,4,11,8,2,4,9,4,14,11,35,65,1.87,2.10,1.25,1.19,2.50,50,50,50,50,50,50,50,50,50,16.00,4.00,1.75,3.45,3.84,1.22,1.70,2.85,4.95,1.68,2.10,Stadionul Dr. Constantin Rădulescu (Cluj-Napoca)
1722268800,Jul 29 2024 - 4:00pm,complete,N/A,UTA Arad,Universitatea Cluj,Istvan Kovacs,3,1.00,1.00,1.30,1.40,0,0,0,0,0,0,"","",6,5,0,0,2,0,0,0,0,2,8,7,4,1,4,6,7,11,40,60,1.43,0.41,1.20,1.02,2.00,100,100,0,0,0,0,50,50,100,5.00,6.00,2.88,3.10,2.40,1.34,2.19,3.65,7.20,1.85,1.85,Stadionul Francisc von Neuman (Arad)
1722279600,Jul 29 2024 - 7:00pm,complete,N/A,Petrolul 52,Rapid Bucureşti,Andrei Florin Chivulete,3,1.00,1.00,1.55,1.15,1,0,1,1,1,0,"31","",0,12,2,0,0,1,0,2,0,1,4,8,2,4,2,4,14,13,34,66,0.82,1.67,0.53,1.32,1.00,50,50,0,0,0,0,50,0,50,9.00,5.00,3.55,3.00,2.25,1.31,2.05,3.48,6.70,1.84,1.86,Stadionul Ilie Oană (Ploieşti)
1722614400,Aug 02 2024 - 4:00pm,complete,N/A,Oţelul Galaţi,Hermannstadt,Horațiu Mircea Fesnic,4,1.00,0.00,1.21,1.11,1,0,1,0,0,0,"86","",6,2,0,0,2,0,0,0,0,2,12,6,4,2,8,4,17,8,52,48,1.16,0.78,1.49,0.80,2.00,50,50,50,50,0,50,50,0,0,16.00,2.00,2.15,3.00,3.30,1.50,2.43,4.75,10.00,2.15,1.65,Stadionul Oţelul (Galaţi)
1722625200,Aug 02 2024 - 7:00pm,complete,N/A,Dinamo Bucureşti,SCM Gloria Buzău,Szabolcs Kovacs,4,3.00,2.00,1.55,0.60,4,1,5,2,2,0,"10,27,80,84","53",5,2,1,0,1,0,0,1,1,0,11,8,6,1,5,7,11,13,64,36,0.87,0.86,1.52,0.94,3.25,75,75,75,50,50,75,75,50,75,7.50,5.50,1.91,3.30,3.40,1.36,2.05,4.00,7.30,1.90,1.83,Stadionul Arcul de Triumf (București)
