timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1755961200,Aug 23 2025 - 3:00pm,complete,N/A,RCD Mallorca,Celta de Vigo,N/A,2,0.00,0.00,1.50,1.60,1,1,2,1,0,1,"87","38",3,4,3,0,3,0,1,2,0,3,12,8,4,2,8,6,12,12,50,50,0.50,0.00,1.31,0.83,1.50,0,50,50,0,0,50,50,0,50,3.00,6.00,3.25,3.35,2.22,1.36,2.25,4.20,8.50,2.00,1.91,N/A
1755970200,Aug 23 2025 - 5:30pm,complete,N/A,Atlético Madrid,Elche CF,N/A,2,0.00,0.00,2.71,0.50,1,1,2,2,1,1,"8","15",10,2,0,0,3,0,0,0,2,1,13,6,6,2,7,4,14,7,58,42,0.00,0.00,1.77,0.66,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.25,5.97,12.00,1.25,1.81,3.02,5.00,2.35,1.56,Estadio Wanda Metropolitano
1755977400,Aug 23 2025 - 7:30pm,complete,N/A,Levante UD,FC Barcelona,N/A,2,0.00,3.00,0.20,1.86,2,3,5,2,2,0,"15,45'7","49,52,90'1",0,11,3,0,1,0,1,2,1,0,8,26,5,10,3,16,10,8,18,82,0.00,2.67,0.94,3.00,1.50,0,50,50,0,0,50,50,0,50,6.00,1.00,10.00,6.80,1.25,1.09,1.33,2.00,3.00,1.81,2.10,Estadio Ciudad de Valencia
1756047600,Aug 24 2025 - 3:00pm,complete,N/A,CA Osasuna,Valencia CF,N/A,2,0.00,0.00,2.00,0.33,1,0,1,1,1,0,"9","",3,4,2,0,1,1,1,1,1,1,16,4,4,1,12,3,14,13,56,44,0.00,0.00,1.71,0.57,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.27,3.20,3.60,1.44,2.33,4.33,8.25,1.96,1.75,Estadio El Sadar
1756056600,Aug 24 2025 - 5:30pm,complete,N/A,Real Sociedad,RCD Espanyol,N/A,2,0.00,0.00,1.67,1.00,2,2,4,2,0,2,"61,69","10,45'1",5,2,2,0,2,0,0,2,1,1,15,14,7,3,8,11,16,18,62,38,0.00,0.00,1.77,1.38,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.60,3.40,4.80,1.35,2.19,4.00,10.00,2.06,1.67,Estadio Municipal de Anoeta
1756056600,Aug 24 2025 - 5:30pm,complete,N/A,Villarreal,Girona FC,N/A,2,3.00,0.00,2.67,0.40,5,0,5,4,4,0,"16,7,28,25,64","",8,1,1,0,2,0,0,1,0,2,19,5,7,2,12,3,8,9,53,47,2.89,0.00,2.07,0.72,1.00,0,50,0,0,0,50,50,0,0,10.00,1.00,1.39,4.35,5.80,1.19,1.72,2.63,4.40,1.62,1.98,Estadio de la Cerámica
1756063800,Aug 24 2025 - 7:30pm,complete,N/A,Real Oviedo,Real Madrid,N/A,2,0.00,0.00,0.67,2.17,0,3,3,1,0,1,"","37,90'3,83",1,9,2,0,1,0,0,2,0,1,6,26,3,10,3,16,8,7,35,65,0.00,0.00,0.79,3.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,9.50,5.25,1.30,1.23,1.70,2.70,4.80,1.93,1.75,Estadio Nuevo Carlos Tartiere
1756143000,Aug 25 2025 - 5:30pm,complete,N/A,Athletic Club Bilbao,Rayo Vallecano,N/A,2,3.00,3.00,1.86,1.29,1,0,1,0,0,0,"66","",3,6,0,0,4,0,0,0,2,2,11,6,4,1,7,5,13,13,41,59,1.44,1.70,1.40,0.78,4.50,100,100,100,100,50,100,100,50,100,14.00,1.00,1.67,3.70,5.50,1.35,2.20,3.90,8.00,2.00,1.70,San Mamés Barria
1756150200,Aug 25 2025 - 7:30pm,complete,N/A,Sevilla FC,Getafe CF,N/A,2,0.00,3.00,1.17,1.29,1,2,3,2,1,1,"45","15,51",5,3,2,0,2,0,0,2,0,2,12,9,3,6,9,3,10,24,71,29,0.00,1.06,1.49,1.18,1.00,0,50,0,0,0,0,0,50,50,3.00,2.00,2.15,3.08,4.11,1.51,2.65,5.00,10.50,2.30,1.67,Estadio Ramón Sánchez Pizjuán
1756321200,Aug 27 2025 - 7:00pm,complete,N/A,Celta de Vigo,Real Betis,N/A,6,0.00,1.00,0.71,1.33,1,1,2,1,0,1,"47","45",10,4,1,0,2,0,0,1,1,1,14,7,5,2,9,5,13,11,47,53,1.42,1.25,1.56,0.96,2.00,50,100,0,0,0,0,50,50,100,12.00,4.00,2.10,3.50,3.15,1.25,1.80,2.99,5.35,1.67,2.21,N/A
